"experiment_id","experiment_year","treatment_number","plot_id","harvest_date","harvest_yld_matur_dry_wt","obs_summary_comment"
"LTFE_Duernast",2018,NA,43,"2018-09-26",10352,NA
"LTFE_Duernast",2018,NA,44,"2018-09-26",10932,NA
"LTFE_Duernast",2018,NA,45,"2018-09-26",10806,NA
"LTFE_Duernast",2018,NA,46,"2018-09-26",11949,NA
"LTFE_Duernast",2018,NA,47,"2018-09-26",10655,NA
"LTFE_Duernast",2018,NA,48,"2018-09-26",10805,NA
"LTFE_Duernast",2018,NA,49,"2018-09-26",10531,NA
"LTFE_Duernast",2018,NA,50,"2018-09-26",11568,NA
"LTFE_Duernast",2018,NA,51,"2018-09-26",6169,NA
"LTFE_Duernast",2018,NA,52,"2018-09-26",6470,NA
"LTFE_Duernast",2018,NA,53,"2018-09-26",10347,NA
"LTFE_Duernast",2018,NA,54,"2018-09-26",12252,NA
"LTFE_Duernast",2018,NA,55,"2018-09-26",8968,NA
"LTFE_Duernast",2018,NA,56,"2018-09-26",10387,NA
"LTFE_Duernast",2018,NA,57,"2018-09-26",9970,NA
"LTFE_Duernast",2018,NA,58,"2018-09-26",12004,NA
"LTFE_Duernast",2018,NA,59,"2018-09-26",11157,NA
"LTFE_Duernast",2018,NA,60,"2018-09-26",12137,NA
"LTFE_Duernast",2018,NA,61,"2018-09-26",10788,NA
"LTFE_Duernast",2018,NA,62,"2018-09-26",12447,NA
"LTFE_Duernast",2018,NA,63,"2018-09-26",8414,NA
"LTFE_Duernast",2018,NA,64,"2018-09-26",9263,NA
"LTFE_Duernast",2019,NA,1,"2019-08-05",3969,NA
"LTFE_Duernast",2019,NA,2,"2019-08-05",3095,NA
"LTFE_Duernast",2019,NA,3,"2019-08-05",8659,NA
"LTFE_Duernast",2019,NA,4,"2019-08-05",10254,NA
"LTFE_Duernast",2019,NA,5,"2019-08-05",9323,NA
"LTFE_Duernast",2019,NA,6,"2019-08-05",10998,NA
"LTFE_Duernast",2019,NA,7,"2019-08-05",7609,NA
"LTFE_Duernast",2019,NA,8,"2019-08-05",9263,NA
"LTFE_Duernast",2019,NA,9,"2019-08-05",8825,NA
"LTFE_Duernast",2019,NA,10,"2019-08-05",10719,NA
"LTFE_Duernast",2019,NA,11,"2019-08-05",7506,NA
"LTFE_Duernast",2019,NA,12,"2019-08-05",9078,NA
"LTFE_Duernast",2019,NA,13,"2019-08-05",7818,NA
"LTFE_Duernast",2019,NA,14,"2019-08-05",9266,NA
"LTFE_Duernast",2019,NA,15,"2019-08-05",7366,NA
"LTFE_Duernast",2019,NA,16,"2019-08-05",8455,NA
"LTFE_Duernast",2019,NA,17,"2019-08-05",8943,NA
"LTFE_Duernast",2019,NA,18,"2019-08-05",10725,NA
"LTFE_Duernast",2019,NA,19,"2019-08-05",9088,NA
"LTFE_Duernast",2019,NA,20,"2019-08-05",11542,NA
"LTFE_Duernast",2019,NA,21,"2019-08-05",9298,NA
"LTFE_Duernast",2019,NA,22,"2019-08-05",10832,NA
"LTFE_Duernast",2019,NA,23,"2019-08-05",2115,NA
"LTFE_Duernast",2019,NA,24,"2019-08-05",1688,NA
"LTFE_Duernast",2019,NA,25,"2019-08-05",7843,NA
"LTFE_Duernast",2019,NA,26,"2019-08-05",8455,NA
"LTFE_Duernast",2019,NA,27,"2019-08-05",8078,NA
"LTFE_Duernast",2019,NA,28,"2019-08-05",10121,NA
"LTFE_Duernast",2019,NA,29,"2019-08-05",8420,NA
"LTFE_Duernast",2019,NA,30,"2019-08-05",9356,NA
"LTFE_Duernast",2019,NA,31,"2019-08-05",7103,NA
"LTFE_Duernast",2019,NA,32,"2019-08-05",9876,NA
"LTFE_Duernast",2019,NA,33,"2019-08-05",9521,NA
"LTFE_Duernast",2019,NA,34,"2019-08-05",10952,NA
"LTFE_Duernast",2019,NA,35,"2019-08-05",9272,NA
"LTFE_Duernast",2019,NA,36,"2019-08-05",11393,NA
"LTFE_Duernast",2019,NA,37,"2019-08-05",2376,NA
"LTFE_Duernast",2019,NA,38,"2019-08-05",2245,NA
"LTFE_Duernast",2019,NA,39,"2019-08-05",7786,NA
"LTFE_Duernast",2019,NA,40,"2019-08-05",9104,NA
"LTFE_Duernast",2019,NA,41,"2019-08-05",8444,NA
"LTFE_Duernast",2019,NA,42,"2019-08-05",9592,NA
"LTFE_Duernast",2019,NA,43,"2019-08-05",8556,NA
"LTFE_Duernast",2019,NA,44,"2019-08-05",10028,NA
"LTFE_Duernast",2019,NA,45,"2019-08-05",7895,NA
"LTFE_Duernast",2019,NA,46,"2019-08-05",10292,NA
"LTFE_Duernast",2019,NA,47,"2019-08-05",7048,NA
"LTFE_Duernast",2019,NA,48,"2019-08-05",8349,NA
"LTFE_Duernast",2019,NA,49,"2019-08-05",9157,NA
"LTFE_Duernast",2019,NA,50,"2019-08-05",10657,NA
"LTFE_Duernast",2019,NA,51,"2019-08-05",1753,NA
"LTFE_Duernast",2019,NA,52,"2019-08-05",1924,NA
"LTFE_Duernast",2019,NA,53,"2019-08-05",7678,NA
"LTFE_Duernast",2019,NA,54,"2019-08-05",9883,NA
"LTFE_Duernast",2019,NA,55,"2019-08-05",7777,NA
"LTFE_Duernast",2019,NA,56,"2019-08-05",9125,NA
"LTFE_Duernast",2019,NA,57,"2019-08-05",8388,NA
"LTFE_Duernast",2019,NA,58,"2019-08-05",9151,NA
"LTFE_Duernast",2019,NA,59,"2019-08-05",7368,NA
"LTFE_Duernast",2019,NA,60,"2019-08-05",10269,NA
"LTFE_Duernast",2019,NA,61,"2019-08-05",6754,NA
"LTFE_Duernast",2019,NA,62,"2019-08-05",7821,NA
"LTFE_Duernast",2019,NA,63,"2019-08-05",6653,NA
"LTFE_Duernast",2019,NA,64,"2019-08-05",7834,NA
"LTFE_Duernast",2020,NA,1,"2020-08-26",5424,NA
"LTFE_Duernast",2020,NA,2,"2020-08-26",4214,NA
"LTFE_Duernast",2020,NA,3,"2020-08-26",4567,NA
"LTFE_Duernast",2020,NA,4,"2020-08-26",4618,NA
"LTFE_Duernast",2020,NA,5,"2020-08-26",4745,NA
"LTFE_Duernast",2020,NA,6,"2020-08-26",4637,NA
"LTFE_Duernast",2020,NA,7,"2020-08-26",4325,NA
"LTFE_Duernast",2020,NA,8,"2020-08-26",3965,NA
"LTFE_Duernast",2020,NA,9,"2020-08-26",4651,NA
"LTFE_Duernast",2020,NA,10,"2020-08-26",4951,NA
"LTFE_Duernast",2020,NA,11,"2020-08-26",4876,NA
"LTFE_Duernast",2020,NA,12,"2020-08-26",5161,NA
"LTFE_Duernast",2020,NA,13,"2020-08-26",4130,NA
